	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta
OTU114	7	4	7	12	9	8	15	11	27	15	24	14	6	9	15	15	16	11	7	19	9	8	9	18	14	8
OTU115	2	8	11	10	9	7	40	16	5	4	0	2	0	4	17	32	21	21	11	20	18	16	15	6	9	6
OTU116	0	1	2	1	2	0	197	5	62	14	2	1	7	3	0	1	0	1	1	1	3	0	0	2	0	0
OTU117	2	3	6	1	3	8	7	7	1	0	0	0	0	0	15	99	4	21	6	103	0	1	5	6	5	2
OTU118	0	0	1	0	0	0	43	90	31	15	35	24	16	37	1	1	0	3	2	2	0	0	0	0	0	0
OTU119	5	1	10	9	12	16	2	2	0	1	0	0	0	0	0	1	0	3	1	3	0	0	0	83	103	47
OTU120	8	16	7	10	2	3	8	6	0	0	0	0	0	1	14	9	13	7	9	13	21	17	20	34	44	34
OTU121	0	2	1	0	0	0	4	6	40	64	38	45	48	38	0	1	0	0	3	0	0	0	0	0	0	0
OTU122	1	3	0	1	0	0	4	9	48	52	36	57	28	40	0	1	1	0	0	0	0	2	3	0	0	2
OTU123	39	38	33	21	8	17	6	30	0	0	1	0	0	0	14	9	16	6	6	7	4	5	10	4	6	3
OTU124	12	22	9	8	7	11	3	7	0	0	1	0	0	0	27	23	19	18	36	5	10	16	10	15	12	11
OTU125	39	27	21	9	4	8	7	4	0	0	0	0	0	0	8	6	3	2	3	4	29	26	19	22	24	12
OTU126	24	13	19	5	10	8	12	15	3	0	0	0	0	0	7	12	3	13	5	35	8	12	25	16	16	16
OTU127	18	21	17	21	6	12	18	12	0	0	0	0	0	0	6	14	9	9	4	16	20	7	10	20	20	15
OTU128	0	4	2	0	0	0	3	8	32	53	44	48	38	31	3	1	3	2	1	0	0	0	1	0	0	1
OTU129	32	13	19	7	8	13	4	20	2	0	0	0	0	0	25	17	33	9	13	6	13	15	2	6	7	10
OTU130	19	18	15	20	28	29	27	7	3	3	1	0	2	2	10	19	6	5	5	13	3	1	4	13	11	9
OTU131	18	10	14	16	34	22	12	13	1	1	1	0	0	0	11	19	9	7	7	15	16	7	5	13	11	8
OTU132	2	3	18	85	72	77	2	0	0	0	0	0	0	0	2	3	0	1	0	3	0	0	0	0	0	0
OTU133	20	25	25	26	26	14	9	2	0	0	0	2	0	0	9	18	5	10	4	15	10	8	17	8	10	3
OTU134	17	22	22	31	18	8	10	8	0	0	1	1	2	1	6	14	15	16	6	26	5	5	2	11	7	9
OTU135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	112	77
OTU136	22	23	25	13	8	8	12	19	8	2	0	2	1	2	16	28	19	12	19	19	0	2	0	0	1	0
OTU137	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	73	6	51	3	120	0	0	0	0	0	0
OTU138	3	5	12	38	14	2	31	16	2	0	0	0	0	0	14	28	21	13	25	21	3	3	3	3	1	0
OTU139	43	34	31	2	9	15	8	15	3	1	2	2	0	0	5	8	7	3	4	0	8	6	20	7	5	18
OTU140	12	15	10	39	28	9	9	6	0	1	0	0	0	0	3	6	2	9	0	7	12	16	12	20	23	17
OTU141	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	0	33	0	61	0	0	0	65	54	20
OTU142	8	12	12	11	7	11	6	14	0	0	0	0	0	0	17	12	7	3	9	8	18	19	13	24	19	22
OTU143	1	0	1	0	0	0	1	6	50	34	42	50	35	31	0	0	0	0	0	0	0	0	0	0	0	0
OTU144	0	0	0	0	0	0	0	0	33	36	47	47	45	42	0	0	0	0	0	0	0	0	0	0	0	0
OTU145	0	6	1	2	15	8	6	6	29	25	9	26	33	17	18	6	10	6	3	4	2	2	7	3	2	4
OTU146	2	2	2	5	3	20	33	3	0	0	0	0	0	2	9	19	28	25	8	31	4	8	1	15	16	12
OTU147	17	12	12	8	3	8	5	11	0	0	0	0	0	0	29	5	3	7	9	5	24	26	26	10	13	13
OTU148	15	15	9	3	0	4	33	24	6	0	1	0	0	1	12	9	14	7	14	5	21	13	9	7	10	14
OTU149	9	14	11	4	0	4	21	12	1	8	1	0	6	2	11	14	21	13	14	12	16	14	6	12	8	10
OTU150	0	0	8	42	25	143	0	0	0	0	0	0	0	0	0	3	0	2	0	6	0	0	0	2	7	4
OTU151	3	8	4	10	4	6	14	3	1	0	0	0	0	0	2	4	3	11	3	8	29	18	25	21	32	31
OTU152	6	18	9	10	5	9	14	13	1	0	0	0	0	0	5	12	7	8	6	4	28	22	21	13	9	19
OTU153	0	1	16	1	41	0	24	26	2	1	1	0	1	2	9	9	17	37	16	14	6	6	2	1	3	0
OTU154	9	4	3	4	1	1	3	13	1	1	0	0	0	0	15	17	12	8	12	3	30	32	23	14	19	11
OTU155	17	21	22	8	6	12	9	11	0	0	0	0	0	0	24	12	13	5	3	6	22	13	16	3	4	8
OTU156	2	1	0	0	1	0	2	6	37	36	37	35	47	28	0	0	0	1	0	1	0	0	0	0	0	0
OTU157	17	7	12	2	3	0	6	9	0	1	0	0	0	0	24	15	22	29	9	10	9	18	20	10	3	8
OTU158	16	23	19	7	9	9	12	13	0	0	0	0	0	0	10	9	9	8	7	7	19	15	11	11	8	8
OTU159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	89	57
OTU160	9	11	10	21	23	29	26	5	0	0	0	0	0	0	6	17	8	7	2	22	3	3	3	8	9	6
OTU161	18	19	23	11	3	7	6	22	3	1	0	2	1	1	13	9	18	9	16	15	7	10	4	2	3	5
OTU162	3	3	1	1	0	0	1	10	2	0	0	0	0	0	25	13	25	20	20	9	16	23	25	11	11	8
OTU163	24	46	33	15	13	19	2	8	0	0	1	0	0	0	8	17	9	7	12	7	1	1	1	1	0	0
OTU164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	138	0	72	0	0	0	0	0	0
OTU165	0	0	0	0	1	0	0	0	62	41	40	35	24	20	0	0	0	0	0	0	0	0	0	1	0	0
OTU166	0	8	5	2	2	1	30	21	4	0	0	1	0	0	19	13	28	25	8	15	3	5	6	8	12	5
OTU167	50	44	47	15	9	11	9	1	0	0	0	0	0	0	11	5	3	4	5	1	1	0	3	0	0	1
OTU168	19	19	16	13	4	6	4	5	1	0	1	0	0	0	18	5	17	6	5	11	9	16	22	5	6	12
OTU169	1	1	2	2	3	1	8	9	29	36	26	26	24	22	2	1	4	1	2	2	3	1	1	5	4	2
OTU170	0	2	0	0	0	0	3	11	32	41	31	34	30	33	0	1	0	0	0	0	0	0	0	0	0	0
OTU171	11	6	8	3	1	1	6	1	44	43	28	21	12	17	2	5	4	0	1	1	0	0	2	1	0	0
OTU172	0	0	1	0	0	0	4	14	22	45	28	40	25	31	0	0	0	0	0	1	0	2	1	0	2	1
OTU173	0	0	0	0	0	0	0	0	13	1	4	24	76	99	0	0	0	0	0	0	0	0	0	0	0	0
OTU174	9	13	10	9	5	10	4	3	1	0	0	0	0	0	12	4	15	12	8	17	22	12	12	9	10	19
OTU175	17	15	11	8	5	11	6	7	6	2	0	0	1	0	26	16	14	19	27	11	2	0	4	0	1	4
OTU176	0	0	0	0	0	0	1	0	32	28	69	58	19	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	2	2	1	1	1	4	1	8	0	0	0	1	0	0	3	3	1	1	3	2	33	19	26	37	32	31
OTU178	0	0	0	0	0	0	0	0	53	36	43	42	21	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU179	7	13	18	5	9	9	22	21	1	1	0	0	0	0	8	8	8	9	3	10	10	11	10	9	10	8
OTU180	0	0	0	0	0	0	208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU181	0	0	0	0	0	0	0	0	27	40	33	23	39	47	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	26	28	7	12	7	10	29	12	4	1	0	1	0	0	6	7	8	7	9	4	7	3	9	2	4	5
OTU183	0	0	0	1	0	1	1	6	21	33	38	39	25	38	1	0	0	2	0	0	0	0	0	0	0	0
OTU184	0	0	0	0	0	0	0	2	13	30	65	50	33	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU185	0	2	1	1	1	1	10	6	0	1	0	0	1	0	7	2	8	13	5	5	24	19	22	27	19	26
OTU186	0	0	1	2	1	0	1	0	42	35	23	34	30	27	0	0	2	0	0	1	0	0	0	0	0	0
OTU187	5	7	6	3	2	4	7	8	1	1	0	0	0	0	1	3	2	4	0	3	17	18	25	30	19	31
OTU188	6	7	7	10	10	5	21	7	0	0	0	1	0	0	14	8	22	22	13	18	3	2	1	8	4	5
OTU189	0	0	0	0	0	0	0	4	27	29	38	25	38	31	0	0	0	0	0	0	0	0	0	0	0	0
OTU190	4	1	1	3	2	4	25	30	26	9	27	15	2	5	10	6	1	5	2	11	0	0	0	0	0	1
OTU191	10	6	6	6	2	3	21	13	1	0	0	0	0	0	9	7	10	5	9	9	5	15	12	10	11	19
OTU192	2	6	4	6	5	3	30	10	1	0	0	0	1	1	7	9	14	10	10	8	15	13	10	8	5	9
OTU193	0	0	0	0	0	0	0	1	24	38	38	29	28	29	0	0	0	0	0	0	0	0	0	0	0	0
OTU194	29	23	15	9	9	6	15	8	3	1	1	0	0	0	6	6	10	7	6	3	2	7	5	3	6	6
OTU195	4	4	5	7	4	2	2	2	0	0	0	0	0	1	0	26	2	4	0	59	3	9	15	9	15	13
OTU196	8	16	11	14	11	15	17	9	0	0	0	0	0	0	7	9	8	6	3	15	4	5	3	7	6	8
OTU197	9	6	3	8	5	9	12	6	3	1	0	3	0	0	1	2	2	12	3	3	16	15	12	17	16	18
OTU198	0	0	0	0	0	0	0	0	22	31	33	39	29	27	0	0	0	0	0	0	0	0	0	0	0	0
OTU199	17	16	17	9	7	16	3	10	0	0	0	0	0	0	17	17	9	6	7	9	2	5	7	2	1	4
OTU200	3	6	13	61	53	22	1	1	1	0	0	0	0	0	0	0	0	1	0	4	1	0	0	6	2	5
OTU201	2	4	3	4	3	0	3	9	0	0	0	0	0	0	4	4	8	11	4	9	26	14	21	16	13	22
OTU202	13	10	8	1	1	3	9	16	19	14	33	16	15	13	2	0	0	3	1	1	0	0	0	0	1	0
OTU203	2	3	4	4	3	5	10	4	0	0	0	0	0	0	5	15	16	8	3	9	13	13	9	17	13	23
OTU204	29	28	21	7	9	4	8	2	0	0	0	0	0	2	2	6	4	4	5	2	12	7	10	6	5	4
OTU205	0	0	7	90	28	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU206	3	3	2	1	1	5	4	5	0	0	0	0	0	0	6	1	4	2	6	4	24	28	20	20	14	20
OTU207	0	0	0	0	1	0	0	1	25	59	18	27	24	16	0	1	0	0	0	0	0	0	0	1	0	0
OTU208	4	4	2	8	5	10	21	6	3	0	0	0	0	1	13	9	27	16	12	24	1	0	1	2	1	1
OTU209	15	13	7	3	6	4	3	9	0	1	1	0	0	0	4	5	4	6	3	8	11	13	8	12	19	15
OTU210	7	10	5	17	21	26	7	5	1	0	0	0	0	0	5	6	9	11	1	10	3	3	1	9	6	5
OTU211	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	22	0	48	1	90	0	0	0	0	1	0
OTU212	8	6	7	2	2	2	29	25	3	3	0	0	0	1	17	10	8	6	11	9	3	2	3	1	2	4
OTU213	0	0	1	0	2	0	0	0	0	0	1	17	67	69	0	1	1	1	1	2	0	1	0	0	0	0
OTU214	12	13	15	3	3	7	14	2	0	0	1	0	0	0	12	8	11	5	6	9	10	8	9	6	1	8
OTU215	23	27	22	16	5	10	3	5	1	0	0	0	0	0	3	1	5	3	3	5	4	4	8	5	6	4
OTU216	5	7	5	8	5	3	19	10	3	0	0	0	0	0	9	3	8	5	2	6	17	10	12	11	8	6
OTU217	0	0	1	0	0	0	0	2	19	32	23	37	26	22	0	0	0	0	0	0	0	0	0	0	0	0
OTU218	3	1	8	3	0	1	32	25	1	2	0	0	1	0	15	17	7	19	5	19	1	0	0	1	0	0
OTU219	16	30	10	16	8	7	8	5	0	1	0	0	0	0	6	7	5	6	9	8	5	2	4	4	1	2
OTU220	22	14	13	5	7	6	1	1	0	0	0	0	0	0	9	5	5	7	3	7	7	13	15	4	5	11
OTU221	11	15	9	4	0	3	4	17	4	1	4	3	5	3	12	10	6	6	4	12	3	3	4	1	8	8
OTU222	0	0	0	0	0	0	0	4	45	22	25	26	19	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU223	0	0	0	0	0	0	1	1	32	35	25	31	23	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	1	2	10	18	20	14	3	1	0	2	0	0	0	0	5	26	5	26	1	21	0	0	0	0	0	2
OTU225	3	6	5	2	0	3	22	22	0	0	0	0	0	0	16	7	20	19	13	9	1	5	1	0	1	0
OTU226	5	2	1	2	0	0	5	11	20	18	11	19	20	10	6	2	8	4	4	1	1	1	1	1	1	0
OTU227	9	17	4	8	3	1	19	16	5	1	2	3	0	3	13	6	10	8	7	5	3	2	4	3	1	1
OTU228	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	89	0	3	1	59	0	0	0	0	0	0
OTU229	1	4	2	2	2	0	4	0	0	0	1	1	0	0	3	3	2	3	4	3	23	22	29	20	14	8
OTU230	1	0	0	0	0	0	2	2	0	0	0	0	0	0	5	7	9	8	8	2	28	17	21	15	15	10
OTU231	4	1	9	5	14	17	5	8	4	4	5	8	2	7	5	20	5	7	5	11	1	1	1	1	0	0
OTU232	0	0	13	74	41	11	2	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	0	0
OTU233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	34	3	21	3	82	0	0	0	0	0	0
OTU234	8	2	4	14	23	23	0	1	0	0	0	0	0	0	5	14	10	9	3	4	6	7	7	3	3	1
OTU235	0	0	0	0	0	0	0	7	22	20	17	21	27	30	0	0	0	1	0	1	0	0	0	0	0	0
OTU236	12	21	14	10	9	8	3	6	0	1	0	0	0	0	2	3	4	5	4	3	8	6	11	3	7	5
OTU237	3	6	10	4	9	6	8	17	3	2	0	0	0	0	3	14	4	9	2	4	4	2	8	5	10	12
OTU238	1	2	3	1	0	1	16	5	22	13	21	19	13	8	3	1	7	3	1	2	0	0	0	1	0	0
OTU239	2	1	0	1	1	0	15	7	0	0	0	0	0	0	18	13	16	9	4	9	5	9	4	9	10	9
OTU240	3	2	3	2	2	0	0	0	0	0	0	0	0	0	3	6	4	7	2	6	13	21	16	8	23	21
OTU241	19	20	4	4	3	3	4	4	0	0	0	0	1	0	4	4	4	3	2	2	17	7	17	2	6	11
OTU242	2	8	4	5	15	11	20	12	2	0	0	0	0	0	6	11	6	8	8	3	0	3	0	4	5	5
OTU243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	47	61
OTU244	0	0	0	1	0	1	1	0	49	13	22	15	19	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU245	2	5	4	1	1	1	10	9	4	1	1	1	1	0	18	7	5	6	3	5	10	11	9	8	9	4
OTU246	4	22	13	4	3	9	4	8	0	1	1	0	1	1	9	12	6	8	5	4	6	2	2	2	3	5
OTU247	0	0	1	0	0	0	29	14	2	1	0	0	0	0	5	5	16	10	11	14	2	2	7	5	8	3
OTU248	4	2	0	0	1	1	11	11	0	0	0	0	0	0	10	11	21	11	7	9	4	10	8	4	4	5
OTU249	0	0	0	0	0	0	0	0	37	14	37	23	11	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU250	2	12	9	7	10	11	0	3	0	0	0	0	0	0	8	13	10	4	0	3	10	9	7	5	6	5
OTU251	8	28	18	7	4	7	2	4	2	8	2	2	5	1	3	6	2	6	5	2	0	2	2	2	2	3
OTU252	17	26	10	5	6	7	3	6	4	3	0	2	1	7	3	7	4	4	4	2	3	1	5	2	0	1
OTU253	0	0	0	0	0	2	5	1	0	0	0	0	0	0	13	2	10	4	9	3	19	15	13	12	6	18
OTU254	10	6	9	7	5	1	0	3	0	0	0	0	0	0	3	3	2	1	2	1	18	16	19	8	4	14
OTU255	1	5	5	1	1	3	0	3	0	0	0	0	0	0	5	2	5	3	5	5	20	22	17	9	7	12
OTU256	7	3	10	2	1	2	3	18	10	12	13	17	9	6	1	0	3	0	0	0	2	3	3	1	2	1
OTU257	4	1	1	2	5	3	14	1	0	0	0	0	0	0	7	20	13	12	11	23	2	4	1	2	1	1
OTU258	1	1	1	4	7	7	2	6	0	0	0	0	0	0	17	14	10	4	3	10	13	12	7	3	2	4
OTU259	0	0	0	0	0	0	0	3	19	10	19	24	20	31	0	0	0	0	0	0	0	1	0	0	0	0
OTU260	6	7	12	5	8	5	3	0	0	0	0	0	0	0	7	15	17	13	15	12	1	1	0	0	0	0
OTU261	7	4	9	5	17	26	0	1	0	0	0	0	0	0	1	1	4	0	0	0	6	6	8	7	11	13
OTU262	0	0	0	1	0	0	0	1	17	31	15	16	27	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU263	1	1	1	3	1	0	6	4	28	10	18	19	7	6	2	0	4	2	2	1	1	0	3	3	1	2
OTU264	0	2	0	0	0	0	0	0	15	25	22	19	13	22	0	0	0	0	0	0	1	0	2	1	0	2
OTU265	7	13	11	2	2	4	3	1	0	0	0	0	0	0	5	21	7	6	9	5	6	7	6	6	2	1
OTU266	23	13	13	1	1	4	1	2	0	0	0	0	0	0	10	2	9	3	2	3	9	10	9	1	2	4
OTU267	6	10	11	4	3	10	11	11	1	1	0	0	1	0	9	6	9	10	6	5	1	1	1	0	4	0
OTU268	0	5	0	1	0	1	26	7	0	0	0	0	0	0	9	14	16	22	6	9	1	1	2	0	1	0
OTU269	1	4	3	14	6	16	1	0	0	0	0	0	0	0	0	2	0	0	0	1	3	2	3	17	36	12
OTU270	5	2	2	15	4	2	9	5	2	1	2	2	0	1	3	16	3	4	0	21	0	2	4	3	9	3
OTU271	3	5	3	5	12	12	10	3	0	0	0	0	0	0	12	0	5	5	3	6	2	3	2	8	14	7
OTU272	5	13	10	3	3	2	0	8	1	0	0	0	0	0	1	0	2	1	0	0	8	11	22	13	3	13
OTU273	3	4	1	4	9	3	3	1	0	0	0	0	0	0	10	16	8	11	4	16	3	3	1	8	6	5
OTU274	0	0	0	0	0	0	6	1	0	0	0	0	0	0	10	6	7	6	7	3	14	15	11	11	7	14
OTU275	9	8	6	2	4	9	23	6	3	0	0	0	0	0	1	1	1	0	0	2	6	5	3	12	7	10
OTU276	10	5	5	3	0	0	5	7	0	0	0	0	0	0	1	3	7	5	5	1	10	5	18	12	9	6
OTU277	0	0	0	0	0	0	0	0	29	15	23	15	9	26	0	0	0	0	0	0	0	0	0	0	0	0
OTU278	1	1	0	0	1	1	6	7	11	19	12	11	23	12	2	1	4	0	1	0	1	1	0	0	1	1
OTU279	1	1	2	2	0	0	1	2	26	21	12	20	5	6	1	2	3	2	0	2	4	0	3	0	0	1
OTU280	0	2	1	3	0	0	0	1	15	27	15	19	12	11	0	0	1	1	0	2	0	0	2	0	2	2
OTU281	2	3	5	5	2	3	8	3	0	0	4	0	0	0	3	5	9	9	7	4	8	6	15	8	2	5
OTU282	8	10	4	5	3	1	15	9	2	0	0	0	0	0	7	4	11	5	1	1	3	8	8	4	3	3
OTU283	5	3	4	2	1	1	13	8	7	7	0	4	3	2	26	5	2	1	1	1	3	1	1	2	6	6
OTU284	4	9	3	1	4	5	3	3	0	0	0	0	0	0	9	1	7	10	2	2	8	18	4	6	4	12
OTU285	0	1	0	0	0	2	0	1	7	14	19	16	29	22	1	0	0	0	1	0	0	0	0	0	1	0
OTU286	7	3	4	5	3	2	14	6	0	0	0	0	1	0	15	10	8	5	1	4	3	4	11	4	2	2
OTU287	4	4	7	6	2	11	6	1	0	0	0	0	0	0	4	9	7	8	0	12	0	1	3	10	9	10
OTU288	4	4	2	2	4	2	2	7	0	0	0	0	0	0	3	5	4	0	2	3	22	14	11	4	5	13
OTU289	8	10	7	7	3	3	6	5	0	1	0	0	0	0	1	2	4	2	7	8	8	11	9	3	3	5
OTU290	1	1	5	73	4	19	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
OTU291	5	7	4	5	5	1	13	4	0	0	0	0	1	0	13	11	8	12	6	10	3	2	0	0	0	2
OTU292	2	6	4	5	5	3	11	11	10	0	6	4	3	5	4	3	4	5	1	3	2	4	6	0	3	2
OTU293	0	0	5	23	20	12	0	0	0	0	0	0	0	0	0	26	0	3	0	22	0	0	0	0	0	0
OTU294	1	1	11	2	36	24	3	5	0	3	0	0	0	0	3	3	9	5	0	3	0	0	0	0	1	1
OTU295	0	0	0	0	0	0	2	1	15	31	13	19	20	9	0	0	0	0	0	0	0	1	0	0	0	0
OTU296	17	9	4	1	4	3	11	12	0	0	0	0	0	0	15	8	6	3	4	6	2	0	3	0	2	1
OTU297	5	12	4	1	2	2	6	11	0	0	0	1	0	0	4	5	2	5	0	7	11	14	10	3	1	5
OTU298	0	0	0	0	0	0	3	11	0	0	0	0	0	0	5	5	2	2	1	4	19	20	18	7	5	8
OTU299	7	8	9	9	4	5	10	15	1	0	0	0	0	1	3	7	5	3	9	5	3	2	0	2	0	1
OTU300	11	12	5	6	7	11	6	9	0	0	0	0	2	0	6	1	2	2	6	2	5	1	3	2	5	5
OTU301	0	0	0	1	0	0	1	0	10	25	16	16	26	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU302	1	1	0	2	0	77	1	3	0	0	0	0	0	1	2	2	5	1	3	1	3	1	0	2	0	2
OTU303	3	2	4	0	1	2	1	4	0	0	0	0	0	0	4	2	9	5	5	6	10	11	14	6	8	11
OTU304	1	1	2	2	1	0	4	3	0	0	0	3	0	0	5	1	4	2	5	3	17	10	20	6	8	10
OTU305	14	18	7	8	7	14	3	2	0	0	0	0	0	0	2	1	0	1	2	0	1	3	7	6	8	4
OTU306	7	5	8	4	1	2	4	9	0	0	0	0	0	0	7	12	4	10	3	4	5	5	8	3	5	1
OTU307	1	1	1	7	3	4	1	1	0	0	0	0	0	0	1	1	0	1	2	1	6	5	6	21	22	21
OTU308	0	0	28	0	72	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0
OTU309	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	9	1	24	0	13	0	0	0	25	12	18
OTU310	0	0	12	50	28	11	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU311	1	4	1	1	5	4	6	1	0	0	0	0	0	0	10	24	7	15	2	12	1	4	0	0	1	4
OTU312	0	0	0	0	0	0	0	0	9	11	38	16	13	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU313	0	0	0	0	0	0	0	0	12	16	36	11	15	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU314	0	1	5	0	0	0	16	38	0	0	0	0	1	0	8	7	8	3	9	4	0	0	0	0	1	0
OTU315	3	5	8	4	3	6	8	2	1	1	0	1	0	0	9	10	7	10	3	5	1	1	5	2	3	2
OTU316	0	0	6	13	27	16	0	0	0	0	0	0	1	0	0	2	0	0	0	15	0	0	0	6	11	3
OTU317	3	3	5	0	2	0	27	10	3	0	0	0	0	0	15	5	5	4	14	2	1	0	0	0	0	0
OTU318	0	0	0	0	0	0	0	0	15	25	11	17	23	6	0	1	0	0	0	0	0	0	0	0	0	0
OTU319	4	9	3	2	3	2	4	6	0	0	0	0	0	0	10	7	8	4	2	6	4	5	3	3	8	5
OTU320	1	1	0	4	5	6	2	5	0	0	0	0	0	1	9	8	2	10	4	15	3	4	5	7	3	3
