DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU7235	Ascomycota(1)	Saccharomycetes(1)	Saccharomycetales(1)	Unclassified(1)	Candida(1)
OTU7236	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7237	Ascomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7238	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7239	Glomeromycota(1)	Glomeromycetes(1)	Diversisporales(1)	Gigasporaceae(1)	Gigaspora(1)
OTU7240	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7241	Glomeromycota(1)	Glomeromycetes(1)	Diversisporales(1)	Gigasporaceae(1)	Gigaspora(1)
OTU7242	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7243	Unclassified(1)	Unclassified(1)	Mucorales(1)	Unclassified(1)	Umbelopsis(1)
OTU7244	Basidiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Glaciozyma(1)
OTU7245	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7246	Basidiomycota(1)	Environmental(1)	Tremellales(1)	Unclassified(1)	Unclassified(1)
OTU7247	Ascomycota(1)	Environmental(1)	Environmental(1)	Unclassified(1)	Myrothecium(1)
OTU7248	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7249	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7250	Ascomycota(1)	Dothideomycetes(1)	Pleosporales(1)	Phaeosphaeriaceae(1)	Unclassified(1)
OTU7251	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7252	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7253	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7254	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7255	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7256	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7257	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7258	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7259	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7260	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7261	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7262	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7263	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7264	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Unclassified(1)	Unclassified(1)
OTU7265	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7266	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7267	Chytridiomycota(1)	Monoblepharidomycetes(1)	Monoblepharidales(1)	Harpochytriaceae(1)	Harpochytrium(1)
OTU7268	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7269	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7270	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7271	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7272	Basidiomycota(1)	Atractiellomycetes(1)	Atractiellales(1)	Hoehnelomycetaceae(1)	Atractiella(1)
OTU7273	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7274	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7275	Ascomycota(1)	Sordariomycetes(1)	Hypocreales(1)	Nectriaceae(1)	Fusarium(1)
OTU7276	Glomeromycota(1)	Glomeromycetes(1)	Diversisporales(1)	Scutellosporaceae(1)	Unclassified(1)
OTU7277	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7278	Basidiomycota(1)	Agaricomycetes(1)	Agaricales(1)	Unclassified(1)	Pleurotus(1)
OTU7279	Ascomycota(1)	Sordariomycetes(1)	Sordariales(1)	Sordariaceae(1)	Neurospora(1)
OTU7280	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Coniophoraceae(1)	Coniophora(1)
OTU7281	Ascomycota(1)	Sordariomycetes(1)	Sordariales(1)	Sordariaceae(1)	Neurospora(1)
OTU7282	Ascomycota(1)	Sordariomycetes(1)	Hypocreales(1)	Cordycipitaceae(1)	Isaria(1)
OTU7283	Unclassified(1)	Unclassified(1)	Mortierellales(1)	Mortierellaceae(1)	Mortierella(1)
OTU7284	Basidiomycota(1)	Agaricomycetes(1)	Agaricales(1)	Marasmiaceae(1)	Lentinula(1)
OTU7285	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7286	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7287	Basidiomycota(1)	Tremellomycetes(1)	Filobasidiales(1)	Unclassified(1)	Cryptococcus(1)
OTU7288	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7289	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Unclassified(1)	Unclassified(1)
OTU7290	Basidiomycota(1)	Tremellomycetes(1)	Filobasidiales(1)	Unclassified(1)	Cryptococcus(1)
OTU7291	Cryptomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Rozella(1)
OTU7292	Ascomycota(1)	Eurotiomycetes(1)	Onygenales(1)	Gymnoascaceae(1)	Paracoccidioides(1)
OTU7293	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7294	Ascomycota(1)	Dothideomycetes(1)	Capnodiales(1)	Davidiellaceae(1)	Cladosporium(1)
OTU7295	Unclassified(1)	Unclassified(1)	Entomophthorales(1)	Ancylistaceae(1)	Conidiobolus(1)
OTU7296	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7297	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
